IDPIF,SUPQUEMADA,MUERTOS,HERIDOS,COMUNIDAD,PROVINCIA,COMARCA,MUNICIPIO,LATITUD,LONGITUD,FECHA,TIME_CTRL,TIME_EXT,IDGRUPOCAUSA,CAUSA,PERSONAL,PESADOS,AEREOS,GASTOS_EXT,PERDIDAS
2003050106,6275.0,0,1,CASTILLA Y LEON,AVILA,EL BARCO DE AVILA,SOLANA DE Ã�VILA,40.33267,-5.645258,2003-08-03,4425,20490,4,Vandalismo,347,18,15,0,753719
2005490807,4650.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PORTO,42.217616,-6.736336,2005-10-01,14190,14970,4,Sin datos,33,4,9,41779,0
2009050152,4031.18,1,1,CASTILLA Y LEON,AVILA,ARENAS DE SAN PEDRO,ARENAS DE SAN PEDRO,40.232547,-5.067824,2009-07-28,8409,40659,4,Sin datos,832,85,44,0,0
2005240664,3290.0,0,1,CASTILLA Y LEON,LEON,TRUCHAS,BENUZA,42.382877,-6.671312,2005-08-03,7420,9012,4,Sin datos,453,49,43,0,0
2005490795,3006.14,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PORTO,42.220545,-6.773729,2005-09-26,18850,21790,4,Provocados por pastores y ganaderos para regenerar el pasto,28,1,6,349,0
2003370098,2849.0,0,0,CASTILLA Y LEON,SALAMANCA,GUIJUELO,OTRA PROVINCIA,40.37167,-5.592903,2003-08-04,0,0,4,Vandalismo,32,4,1,0,3269788
2003370144,2401.93,0,1,CASTILLA Y LEON,SALAMANCA,ROBLEDA,AGALLAS,40.457541,-6.415577,2003-08-13,885,4725,4,Sin datos,177,18,14,0,5212583
2009240694,2301.3,0,0,CASTILLA Y LEON,LEON,VEGA DE ESPINAREDA,PERANZANES,42.871914,-6.613227,2009-09-10,7203,8059,4,Provocados por cazadores para facilitar la caza,234,11,20,0,0
2001370073,2146.0,0,1,CASTILLA Y LEON,SALAMANCA,VITIGUDINO,BARRUECOPARDO,41.069892,-6.661902,2001-07-31,0,0,4,Sin datos,258,16,4,0,172475
2003370096,1804.37,0,0,CASTILLA Y LEON,SALAMANCA,LA ALBERCA,ESCURIAL DE LA SIERRA,40.614263,-5.956284,2003-08-03,470,3080,2,OTRAS NEGLIGENCIAS (SIN ESPECIFICAR),273,15,5,0,94927
2001490406,1460.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PORTO,42.159817,-6.844835,2001-12-16,3000,3900,4,Provocados por cazadores para facilitar la caza,33,0,1,0,0
2001370085,1450.0,0,0,CASTILLA Y LEON,SALAMANCA,VITIGUDINO,BARRUECOPARDO,41.069892,-6.661902,2001-08-07,1680,3270,4,Sin datos,364,22,5,0,423419
2002490316,1418.23,0,0,CASTILLA Y LEON,ZAMORA,ALCAÃ‘ICES,PORTUGAL,41.822229,-6.543943,2002-08-16,1080,3780,4,Sin datos,153,21,22,0,1010768
2005370293,1280.35,0,0,CASTILLA Y LEON,SALAMANCA,LA ALBERCA,CILLEROS DE LA BASTIDA,40.528868,-5.98566,2005-06-18,361,7320,1,RAYO,430,22,9,0,2022571
2005490628,1167.8,0,10,CASTILLA Y LEON,ZAMORA,ALCAÃ‘ICES,TRABAZOS,41.774013,-6.507694,2005-07-16,3150,5850,3,MOTORES Y MÃ�QUINAS (SIN ESPECIFICAR),148,20,13,60444,0
2006050124,1130.21,0,0,CASTILLA Y LEON,AVILA,AVILA,TORNADIZOS DE AVILA,40.605961,-4.608541,2006-09-03,490,3290,4,Provocados por pastores y ganaderos para regenerar el pasto,122,13,11,0,0
2004490374,1080.0,0,0,CASTILLA Y LEON,ZAMORA,ALCAÃ‘ICES,FONFRIA,41.627396,-6.18686,2004-07-17,495,9825,6,INCENDIO REPRODUCIDO,104,12,13,0,271276
2010240126,1077.66,0,0,CASTILLA Y LEON,LEON,VILLAFRANCA,BARJAS,42.593025,-6.947215,2010-08-08,10264,13215,4,Provocados por campesinos para eliminar matorral y residuos agrÃ­colas,127,7,10,0,0
2005370407,1050.0,0,0,CASTILLA Y LEON,SALAMANCA,ROBLEDA,SERRADILLA DEL LLANO,40.460138,-6.362685,2005-08-31,1030,2465,4,Sin datos,157,24,15,0,612549
2005490366,1020.0,0,0,CASTILLA Y LEON,ZAMORA,PUEBLA DE SANABRIA,PEDRALBA DE LA PRADERIA,41.976776,-6.716454,2005-03-13,1095,1725,4,Provocados por campesinos para eliminar matorral y residuos agrÃ­colas,58,5,6,8893,0
2006050125,1016.77,0,0,CASTILLA Y LEON,AVILA,AVILA,AVILA,40.673691,-4.493485,2006-09-03,370,9010,4,Provocados por venganzas,125,10,13,0,0
2010240181,990.0,0,0,CASTILLA Y LEON,LEON,TRUCHAS,BENUZA,42.30988,-6.692816,2010-08-24,1909,6070,4,Sin datos,216,7,8,0,0
2010370111,982.53,0,2,CASTILLA Y LEON,SALAMANCA,VITIGUDINO,VILLARINO DE LOS AIRES,41.268751,-6.453217,2010-07-30,4905,9165,4,Vandalismo,139,18,12,0,0
2003090108,959.76,0,0,CASTILLA Y LEON,BURGOS,SEDANO,ALTOS LOS,42.746828,-3.531473,2003-08-05,3768,7368,1,RAYO,447,38,13,0,1929986
2008400044,956.25,0,1,CASTILLA Y LEON,SEGOVIA,BOCEGUILLAS,PRADALES,41.468271,-3.699765,2008-08-06,1365,3255,2,TRABAJOS FORESTALES,623,63,18,0,0
2005490699,956.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,S JUSTO,42.174643,-6.64188,2005-08-20,5445,6890,4,Sin datos,74,0,10,30446,0
2001370125,950.0,0,1,CASTILLA Y LEON,SALAMANCA,GUIJUELO,TEJADO EL,40.449416,-5.536488,2001-08-23,425,3205,4,Sin datos,270,1,9,0,0
2009490542,935.0,0,0,CASTILLA Y LEON,ZAMORA,ALCAÃ‘ICES,MAHIDE,41.834989,-6.303885,2009-08-23,393,423,4,Provocados por campesinos para eliminar matorral y residuos agrÃ­colas,333,28,18,0,0
2005240545,921.0,0,0,CASTILLA Y LEON,LEON,LA BAÃ‘EZA,CASTROCONTRIGO,42.211744,-6.18868,2005-06-24,488,3180,1,RAYO,182,24,5,0,0
2003090095,882.49,0,12,CASTILLA Y LEON,BURGOS,MEDINA DE POMAR,MERINDAD DE CUESTA-URRIA,42.865252,-3.402467,2003-08-03,9741,11518,1,RAYO,698,41,27,0,1344899
2009420047,858.72,0,0,CASTILLA Y LEON,SORIA,ALMAZAN,OTRA PROVINCIA,41.052802,-2.430068,2009-07-22,1190,3190,3,MOTORES Y MÃ�QUINAS (COSECHADORAS),163,17,8,83161,0
2006240473,800.0,0,0,CASTILLA Y LEON,LEON,TRUCHAS,TRUCHAS,42.268979,-6.414877,2006-09-09,1540,3220,1,RAYO,36,2,0,0,0
2001050100,790.0,0,0,CASTILLA Y LEON,AVILA,EL HOYO DE PINARES,HERRADON DE PINARES,40.588716,-4.538729,2001-08-23,1540,2995,2,FUMADORES,141,9,7,0,0
2005240733,785.99,0,0,CASTILLA Y LEON,LEON,PONFERRADA,PONFERRADA,42.499036,-6.562925,2005-08-20,0,0,5,CAUSA DESCONOCIDA,112,22,12,0,0
2004490433,779.85,0,0,CASTILLA Y LEON,ZAMORA,MOMBUEY,ESPADAÃ‘EDO,42.134592,-6.388501,2004-08-07,1135,1645,4,Sin datos,100,10,7,0,241819
2009240696,726.0,0,2,CASTILLA Y LEON,LEON,CANALES-LA MAGDALENA,MURIAS DE PAREDES,42.755714,-6.183547,2009-09-10,6993,7950,4,Provocados por cazadores para facilitar la caza,123,9,17,0,0
